measurement_time,segment,speed_kph,0_5,day_of_week,hour_of_day
2025-05-02 22:18:00+00:00,2332541,111,17,4,22
2025-05-02 22:19:00+00:00,2332541,111,16,4,22
2025-05-02 22:20:00+00:00,2332541,117,22,4,22
2025-05-02 22:21:00+00:00,2332541,117,20,4,22
2025-05-02 22:22:00+00:00,2332541,115,16,4,22
2025-05-02 22:23:00+00:00,2332541,112,19,4,22
2025-05-02 22:24:00+00:00,2332541,106,18,4,22
2025-05-02 22:25:00+00:00,2332541,108,18,4,22
2025-05-02 22:26:00+00:00,2332541,102,26,4,22
2025-05-02 22:27:00+00:00,2332541,97,29,4,22
2025-05-02 22:28:00+00:00,2332541,98,27,4,22
2025-05-02 22:29:00+00:00,2332541,102,26,4,22
2025-05-02 22:30:00+00:00,2332541,104,25,4,22
2025-05-02 22:31:00+00:00,2332541,104,24,4,22
2025-05-02 22:32:00+00:00,2332541,99,29,4,22
2025-05-02 22:33:00+00:00,2332541,109,35,4,22
2025-05-02 22:34:00+00:00,2332541,107,35,4,22
2025-05-02 22:35:00+00:00,2332541,108,34,4,22
2025-05-02 22:36:00+00:00,2332541,106,33,4,22
2025-05-02 22:37:00+00:00,2332541,102,28,4,22
2025-05-02 22:38:00+00:00,2332541,103,24,4,22
2025-05-02 22:39:00+00:00,2332541,103,27,4,22
2025-05-02 22:40:00+00:00,2332541,105,23,4,22
2025-05-02 22:41:00+00:00,2332541,107,23,4,22
2025-05-02 22:42:00+00:00,2332541,109,23,4,22
2025-05-02 22:43:00+00:00,2332541,104,28,4,22
2025-05-02 22:44:00+00:00,2332541,106,24,4,22
2025-05-02 22:45:00+00:00,2332541,98,27,4,22
2025-05-02 22:46:00+00:00,2332541,99,29,4,22
2025-05-02 22:47:00+00:00,2332541,110,28,4,22
2025-05-02 22:48:00+00:00,2332541,107,30,4,22
2025-05-02 22:49:00+00:00,2332541,105,29,4,22
2025-05-02 22:50:00+00:00,2332541,100,28,4,22
2025-05-02 22:51:00+00:00,2332541,98,28,4,22
2025-05-02 22:52:00+00:00,2332541,99,23,4,22
2025-05-02 22:53:00+00:00,2332541,99,20,4,22
2025-05-02 22:54:00+00:00,2332541,103,20,4,22
2025-05-02 22:55:00+00:00,2332541,104,20,4,22
2025-05-02 22:56:00+00:00,2332541,107,22,4,22
2025-05-02 22:57:00+00:00,2332541,107,26,4,22
2025-05-02 22:58:00+00:00,2332541,105,25,4,22
2025-05-02 22:59:00+00:00,2332541,110,24,4,22
2025-05-02 23:00:00+00:00,2332541,110,21,4,23
2025-05-02 23:01:00+00:00,2332541,106,18,4,23
2025-05-02 23:02:00+00:00,2332541,108,16,4,23
2025-05-02 23:03:00+00:00,2332541,108,13,4,23
2025-05-02 23:04:00+00:00,2332541,109,12,4,23
2025-05-02 23:05:00+00:00,2332541,109,16,4,23
2025-05-02 23:06:00+00:00,2332541,106,16,4,23
2025-05-02 23:07:00+00:00,2332541,106,20,4,23
2025-05-02 23:08:00+00:00,2332541,107,24,4,23
2025-05-02 23:09:00+00:00,2332541,110,22,4,23
2025-05-02 23:10:00+00:00,2332541,105,22,4,23
2025-05-02 23:11:00+00:00,2332541,102,23,4,23
2025-05-02 23:12:00+00:00,2332541,101,19,4,23
2025-05-02 23:13:00+00:00,2332541,104,19,4,23
2025-05-02 23:14:00+00:00,2332541,105,21,4,23
2025-05-02 23:15:00+00:00,2332541,103,20,4,23
2025-05-02 23:16:00+00:00,2332541,100,24,4,23
2025-05-02 23:17:00+00:00,2332541,105,26,4,23
2025-05-02 23:18:00+00:00,2332541,105,28,4,23
2025-05-02 23:19:00+00:00,2332541,110,28,4,23
2025-05-02 23:20:00+00:00,2332541,101,30,4,23
2025-05-02 23:21:00+00:00,2332541,106,24,4,23
2025-05-02 23:22:00+00:00,2332541,106,26,4,23
2025-05-02 23:23:00+00:00,2332541,106,20,4,23
2025-05-02 23:24:00+00:00,2332541,109,20,4,23
2025-05-02 23:25:00+00:00,2332541,104,18,4,23
2025-05-02 23:26:00+00:00,2332541,99,19,4,23
2025-05-02 23:27:00+00:00,2332541,101,15,4,23
2025-05-02 23:28:00+00:00,2332541,104,16,4,23
2025-05-02 23:29:00+00:00,2332541,102,15,4,23
2025-05-02 23:30:00+00:00,2332541,96,15,4,23
2025-05-02 23:31:00+00:00,2332541,101,17,4,23
2025-05-02 23:32:00+00:00,2332541,104,15,4,23
2025-05-02 23:33:00+00:00,2332541,105,17,4,23
2025-05-02 23:34:00+00:00,2332541,105,21,4,23
2025-05-02 23:35:00+00:00,2332541,104,23,4,23
2025-05-02 23:36:00+00:00,2332541,105,20,4,23
2025-05-02 23:37:00+00:00,2332541,104,19,4,23
2025-05-02 23:38:00+00:00,2332541,102,14,4,23
2025-05-02 23:39:00+00:00,2332541,102,10,4,23
2025-05-02 23:40:00+00:00,2332541,102,8,4,23
2025-05-02 23:41:00+00:00,2332541,105,13,4,23
2025-05-02 23:42:00+00:00,2332541,105,14,4,23
2025-05-02 23:43:00+00:00,2332541,106,13,4,23
2025-05-02 23:44:00+00:00,2332541,106,15,4,23
2025-05-02 23:45:00+00:00,2332541,106,13,4,23
2025-05-02 23:46:00+00:00,2332541,106,7,4,23
2025-05-02 23:47:00+00:00,2332541,104,5,4,23
2025-05-02 23:48:00+00:00,2332541,108,8,4,23
2025-05-02 23:49:00+00:00,2332541,107,6,4,23
2025-05-02 23:50:00+00:00,2332541,100,9,4,23
2025-05-02 23:51:00+00:00,2332541,97,10,4,23
2025-05-02 23:52:00+00:00,2332541,102,12,4,23
2025-05-02 23:53:00+00:00,2332541,105,11,4,23
2025-05-02 23:54:00+00:00,2332541,112,13,4,23
2025-05-02 23:55:00+00:00,2332541,112,10,4,23
2025-05-02 23:56:00+00:00,2332541,112,9,4,23
2025-05-02 23:57:00+00:00,2332541,111,12,4,23
2025-05-02 23:58:00+00:00,2332541,109,11,4,23
2025-05-02 23:59:00+00:00,2332541,101,12,4,23
2025-05-03 00:00:00+00:00,2332541,101,10,5,0
2025-05-03 00:01:00+00:00,2332541,100,11,5,0
2025-05-03 00:02:00+00:00,2332541,103,9,5,0
2025-05-03 00:03:00+00:00,2332541,101,13,5,0
2025-05-03 00:04:00+00:00,2332541,102,13,5,0
2025-05-03 00:05:00+00:00,2332541,102,13,5,0
2025-05-03 00:06:00+00:00,2332541,108,15,5,0
2025-05-03 00:07:00+00:00,2332541,108,12,5,0
2025-05-03 00:08:00+00:00,2332541,110,8,5,0
2025-05-03 00:09:00+00:00,2332541,110,4,5,0
2025-05-03 00:10:00+00:00,2332541,109,8,5,0
2025-05-03 00:11:00+00:00,2332541,112,8,5,0
2025-05-03 00:12:00+00:00,2332541,107,12,5,0
2025-05-03 00:13:00+00:00,2332541,101,15,5,0
2025-05-03 00:14:00+00:00,2332541,101,15,5,0
2025-05-03 00:15:00+00:00,2332541,104,12,5,0
2025-05-03 00:16:00+00:00,2332541,103,12,5,0
2025-05-03 00:17:00+00:00,2332541,105,9,5,0
2025-05-03 00:18:00+00:00,2332541,105,7,5,0
2025-05-03 00:19:00+00:00,2332541,105,6,5,0
2025-05-03 00:20:00+00:00,2332541,105,5,5,0
2025-05-03 00:21:00+00:00,2332541,105,4,5,0
2025-05-03 00:22:00+00:00,2332541,103,5,5,0
2025-05-03 00:23:00+00:00,2332541,91,8,5,0
2025-05-03 00:24:00+00:00,2332541,92,9,5,0
2025-05-03 00:25:00+00:00,2332541,94,10,5,0
2025-05-03 00:26:00+00:00,2332541,101,12,5,0
2025-05-03 00:27:00+00:00,2332541,100,10,5,0
2025-05-03 00:28:00+00:00,2332541,103,7,5,0
2025-05-03 00:29:00+00:00,2332541,101,8,5,0
2025-05-03 00:30:00+00:00,2332541,99,7,5,0
2025-05-03 00:31:00+00:00,2332541,99,11,5,0
2025-05-03 00:32:00+00:00,2332541,98,9,5,0
2025-05-03 00:33:00+00:00,2332541,93,14,5,0
2025-05-03 00:34:00+00:00,2332541,99,17,5,0
2025-05-03 00:35:00+00:00,2332541,99,17,5,0
2025-05-03 00:36:00+00:00,2332541,106,18,5,0
2025-05-03 00:37:00+00:00,2332541,105,17,5,0
2025-05-03 00:38:00+00:00,2332541,100,14,5,0
2025-05-03 00:39:00+00:00,2332541,103,12,5,0
2025-05-03 00:40:00+00:00,2332541,96,13,5,0
2025-05-03 00:41:00+00:00,2332541,97,8,5,0
2025-05-03 00:42:00+00:00,2332541,98,8,5,0
2025-05-03 00:43:00+00:00,2332541,99,8,5,0
2025-05-03 00:44:00+00:00,2332541,104,9,5,0
2025-05-03 00:45:00+00:00,2332541,107,9,5,0
2025-05-03 00:46:00+00:00,2332541,110,10,5,0
2025-05-03 00:47:00+00:00,2332541,109,10,5,0
2025-05-03 00:48:00+00:00,2332541,109,9,5,0
2025-05-03 00:49:00+00:00,2332541,112,7,5,0
2025-05-03 00:50:00+00:00,2332541,113,10,5,0
2025-05-03 00:51:00+00:00,2332541,111,9,5,0
2025-05-03 00:52:00+00:00,2332541,111,9,5,0
2025-05-03 00:53:00+00:00,2332541,111,9,5,0
2025-05-03 00:54:00+00:00,2332541,107,9,5,0
2025-05-03 00:55:00+00:00,2332541,104,7,5,0
2025-05-03 00:56:00+00:00,2332541,103,11,5,0
2025-05-03 00:57:00+00:00,2332541,103,10,5,0
2025-05-03 00:58:00+00:00,2332541,103,14,5,0
2025-05-03 00:59:00+00:00,2332541,103,13,5,0
2025-05-03 01:00:00+00:00,2332541,104,12,5,1
2025-05-03 01:01:00+00:00,2332541,105,10,5,1
2025-05-03 01:02:00+00:00,2332541,105,10,5,1
2025-05-03 01:03:00+00:00,2332541,101,9,5,1
2025-05-03 01:04:00+00:00,2332541,100,9,5,1
2025-05-03 01:05:00+00:00,2332541,100,9,5,1
2025-05-03 01:06:00+00:00,2332541,94,12,5,1
2025-05-03 01:07:00+00:00,2332541,96,11,5,1
2025-05-03 01:08:00+00:00,2332541,106,11,5,1
2025-05-03 01:09:00+00:00,2332541,108,15,5,1
2025-05-03 01:10:00+00:00,2332541,110,15,5,1
2025-05-03 01:11:00+00:00,2332541,106,11,5,1
2025-05-03 01:12:00+00:00,2332541,106,12,5,1
2025-05-03 01:13:00+00:00,2332541,109,12,5,1
2025-05-03 01:14:00+00:00,2332541,110,11,5,1
2025-05-03 01:15:00+00:00,2332541,110,14,5,1
2025-05-03 01:16:00+00:00,2332541,107,15,5,1
2025-05-03 01:17:00+00:00,2332541,109,13,5,1
2025-05-03 01:18:00+00:00,2332541,109,14,5,1
2025-05-03 01:19:00+00:00,2332541,106,13,5,1
2025-05-03 01:20:00+00:00,2332541,107,10,5,1
2025-05-03 01:21:00+00:00,2332541,107,7,5,1
2025-05-03 01:22:00+00:00,2332541,107,7,5,1
2025-05-03 01:23:00+00:00,2332541,106,6,5,1
2025-05-03 01:24:00+00:00,2332541,107,5,5,1
2025-05-03 01:25:00+00:00,2332541,106,4,5,1
2025-05-03 01:26:00+00:00,2332541,110,6,5,1
2025-05-03 01:27:00+00:00,2332541,105,6,5,1
2025-05-03 01:28:00+00:00,2332541,107,7,5,1
2025-05-03 01:29:00+00:00,2332541,110,6,5,1
2025-05-03 01:30:00+00:00,2332541,108,8,5,1
2025-05-03 01:31:00+00:00,2332541,109,9,5,1
2025-05-03 01:32:00+00:00,2332541,113,11,5,1
2025-05-03 01:33:00+00:00,2332541,113,9,5,1
2025-05-03 01:34:00+00:00,2332541,112,9,5,1
2025-05-03 01:35:00+00:00,2332541,108,8,5,1
2025-05-03 01:36:00+00:00,2332541,108,7,5,1
2025-05-03 01:37:00+00:00,2332541,113,9,5,1
2025-05-03 01:38:00+00:00,2332541,112,10,5,1
2025-05-03 01:39:00+00:00,2332541,112,9,5,1
2025-05-03 01:40:00+00:00,2332541,111,9,5,1
2025-05-03 01:41:00+00:00,2332541,109,11,5,1
2025-05-03 01:42:00+00:00,2332541,109,6,5,1
2025-05-03 01:43:00+00:00,2332541,111,6,5,1
2025-05-03 01:44:00+00:00,2332541,105,8,5,1
2025-05-03 01:45:00+00:00,2332541,106,10,5,1
