day_of_week,hour_of_day,segment,speed_kph_mean,speed_kph_std,0_5_mean,0_5_std
2,12,2332541,101.79444444444445,3.7804617516119383,59.82222222222222,8.337688741119717
2,13,2332540,101.17777777777778,8.610193838985781,67.53888888888889,11.681170186396274
2,13,2332541,100.10277777777777,9.589803838784047,67.39166666666667,11.606809906761605
2,14,2332540,87.74094707520891,26.47951184791546,63.646239554317546,11.808063765823789
2,14,2332541,87.041782729805,25.72004268456175,63.70473537604457,11.782562386690724
2,15,2332540,80.06424581005587,33.75216653887955,65.48324022346368,10.972514609992574
2,15,2332541,80.33240223463687,32.154191023497546,65.5,10.903896458752405
2,16,2332540,105.325,4.1727912276468375,56.75,10.400275869493075
2,16,2332541,104.48333333333333,4.139590764696953,56.730555555555554,10.35294474396327
2,17,2332540,107.91944444444445,3.946248840777718,44.138888888888886,9.308254873489894
2,17,2332541,107.21666666666667,4.08785823607146,44.19166666666667,9.267575338039588
2,18,2332540,108.7,4.102991639032691,37.09722222222222,6.903553084263822
2,18,2332541,108.17222222222222,4.03650550149156,37.08888888888889,6.933258338284494
2,19,2332540,107.775,4.177394731282531,31.47222222222222,6.3042016811229615
2,19,2332541,107.125,4.238494174713562,31.48611111111111,6.295847009719395
2,20,2332540,106.95555555555555,4.033042109854252,32.00277777777778,6.654840369268963
2,20,2332541,106.38333333333334,4.19546777615134,32.044444444444444,6.649876721769528
2,21,2332540,108.65277777777777,4.781462935716739,21.044444444444444,6.7500725032501245
2,21,2332541,108.10833333333333,5.021062877857476,21.033333333333335,6.734850946397775
2,22,2332540,106.83055555555555,4.861497840212093,11.66388888888889,5.114382624081126
2,22,2332541,106.51388888888889,4.845217196495243,11.675,5.123264703841365
2,23,2332540,107.61111111111111,4.386468035454042,6.169444444444444,3.557981293974138
2,23,2332541,106.93611111111112,4.491257541621131,6.177777777777778,3.543844843330405
3,0,2332540,104.825,5.572008984429468,3.25,2.0748527484080888
3,0,2332541,103.94722222222222,5.654390958295515,3.25,2.0815544866229043
3,1,2332540,108.02222222222223,5.1759628233065245,4.188888888888889,2.2609409358045016
3,1,2332541,107.15833333333333,5.65142893656725,4.163888888888889,2.247456349593966
3,2,2332540,106.01388888888889,4.894693435919252,4.966666666666667,2.318389605333192
3,2,2332541,104.68333333333334,4.965030919684815,4.941666666666666,2.2711555720187855
3,3,2332540,107.41944444444445,4.739352202624959,18.233333333333334,11.19918421223165
3,3,2332541,106.54444444444445,4.613559067260321,18.208333333333332,11.14870053759093
3,4,2332540,106.23611111111111,4.613450891047857,55.225,25.345345921659437
3,4,2332541,105.35833333333333,4.65786990899665,55.233333333333334,25.334222727875957
3,5,2332540,92.14722222222223,23.060245502261555,79.15833333333333,31.797582948033156
3,5,2332541,91.89444444444445,21.355721046537333,79.04444444444445,31.72397004563766
3,6,2332540,63.44722222222222,33.61253070916728,76.26666666666667,26.79450324039845
3,6,2332541,65.29722222222222,31.34110995674776,76.10277777777777,26.70999714889939
3,7,2332540,90.74166666666666,24.76997098091847,60.68055555555556,15.533615618238338
3,7,2332541,90.08888888888889,24.14424823836883,60.772222222222226,15.559332233759509
3,8,2332540,102.27777777777777,3.921308910510574,55.09166666666667,9.814430708873326
3,8,2332541,101.3,4.127359627296403,55.102777777777774,9.826800546238287
